Title,Date1,Date2,Time,Location,Summary,Description,id
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, November 20","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
"Like, Totally Transformative: CMU in the 1980s","Wednesday, November 20","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Native American Heritage Month,"Wednesday, November 20","November 1 - 30, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9919
Nativity Fast,"Wednesday, November 20","Nov. 15 - Dec. 23, 2024",All Day,,,"  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9929
Spring 2025 Registration Week,"Wednesday, November 20","November 18 - 23, 2024",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12415
Transgender Day of Remembrance,"Wednesday, November 20","November 20, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9930
17th International Exhibition of Botanical Art & Illustration,"Thursday, November 21","November 21, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8449
CMU Pantry Hours,"Thursday, November 21","November 21, 2024",2 - 5 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10105
CMU Chorus & Singers,"Thursday, November 21",Today,7:30 - 10 p.m.,"Kresge Theatre, College of Fine Arts @ 5000 Forbes...",,,11594
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Thursday, November 21","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
"Like, Totally Transformative: CMU in the 1980s","Thursday, November 21","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Native American Heritage Month,"Thursday, November 21","November 1 - 30, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9919
Nativity Fast,"Thursday, November 21","Nov. 15 - Dec. 23, 2024",All Day,,,"  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9929
Spring 2025 Registration Week,"Thursday, November 21","November 18 - 23, 2024",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12415
(M. Swimming and Diving) CMU Diving Invitational,"Friday, November 22","November 22, 2024",All Day,,,"(M. Swimming and Diving) CMU Diving Invitational, 4:00 p.m.",11939
(W. Swimming and Diving) CMU Diving Invitational,"Friday, November 22","November 22, 2024",All Day,,,"(W. Swimming and Diving) CMU Diving Invitational, 4:00 p.m.",11941
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Friday, November 22","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
"Like, Totally Transformative: CMU in the 1980s","Friday, November 22","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Native American Heritage Month,"Friday, November 22","November 1 - 30, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9919
17th International Exhibition of Botanical Art & Illustration,"Friday, November 22","November 22, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8450
CMU Pantry Hours,"Friday, November 22","November 22, 2024",Noon - 3 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10124
Black Women’s Support Group,"Friday, November 22","November 22, 2024",4 - 5:15 p.m. Weekly (to Dec 20),,"A supportive, virtual space for students who identify as Black women, facilitated by Black female therapists.","A supportive, virtual space for students who identify as Black women, facilitated by Black female therapists.",10877
Nativity Fast,"Friday, November 22","Nov. 15 - Dec. 23, 2024",All Day,,,"  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9929
Spring 2025 Registration Week,"Friday, November 22","November 18 - 23, 2024",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12415
Spring 2025 Registration Week,"Saturday, November 23","November 18 - 23, 2024",Midnight,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12415
CMU Pantry Hours,"Saturday, November 23","November 23, 2024",10 a.m. - 1 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10142
(M. Swimming and Diving) CMU Diving Invitational,"Saturday, November 23","November 23, 2024",All Day,,,"(M. Swimming and Diving) CMU Diving Invitational, 10:00 a.m.",11933
(W. Swimming and Diving) CMU Diving Invitational,"Saturday, November 23","November 23, 2024",All Day,,,"(W. Swimming and Diving) CMU Diving Invitational, 12:00 p.m.",11937
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Saturday, November 23","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
"Like, Totally Transformative: CMU in the 1980s","Saturday, November 23","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Native American Heritage Month,"Saturday, November 23","November 1 - 30, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9919
Nativity Fast,"Saturday, November 23","Nov. 15 - Dec. 23, 2024",All Day,,,"  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9929
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Sunday, November 24","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
"Like, Totally Transformative: CMU in the 1980s","Sunday, November 24","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Native American Heritage Month,"Sunday, November 24","November 1 - 30, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9919
Nativity Fast,"Sunday, November 24","Nov. 15 - Dec. 23, 2024",All Day,,,"  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9929
